Date,location,position,key,value,month
2017-06-10,Tainoura (Isoyake),1m,RP,11.266076175985518,6
2017-06-11,Tainoura (Isoyake),1m,RP,18.973834642577714,6
2017-06-12,Tainoura (Isoyake),0m,RP,46.78570390529073,6
2017-06-13,Tainoura (Isoyake),0m,RP,54.722293179958825,6
2017-06-13,Tainoura (Isoyake),1m,RP,14.530356327260563,6
2017-07-21,Tainoura (Isoyake),0m,RP,18.941619821616484,7
2017-07-21,Arikawa (Zostera),1m,RP,35.07558088162112,7
2017-07-22,Arikawa (Zostera),1m,RP,29.766663851057537,7
2017-07-23,Tainoura (Isoyake),0m,RP,17.62437969224259,7
2017-07-23,Arikawa (Zostera),1m,RP,41.017974100731514,7
2017-07-24,Arikawa (Zostera),1m,RP,36.594118107492484,7
2017-07-25,Arikawa (Zostera),1m,RP,31.63163091294028,7
2017-07-26,Tainoura (Isoyake),0m,RP,2.441568082373026,7
2017-07-26,Arikawa (Zostera),1m,RP,15.387547218064412,7
2017-07-27,Tainoura (Isoyake),0m,RP,2.9112765292832625,7
2017-07-27,Arikawa (Zostera),1m,RP,22.20535734733744,7
2017-07-28,Tainoura (Isoyake),0m,RP,1.0170947352014352,7
2017-07-28,Arikawa (Zostera),1m,RP,53.83159248373488,7
2017-07-29,Arikawa (Zostera),1m,RP,14.859968955090512,7
2017-07-30,Arikawa (Zostera),1m,RP,24.996002544334914,7
2017-07-31,Tainoura (Isoyake),0m,RP,20.239433159450204,7
2017-07-31,Arikawa (Zostera),1m,RP,50.40244794045441,7
2017-08-01,Tainoura (Isoyake),0m,RP,15.974208510491344,8
2017-08-01,Arikawa (Zostera),1m,RP,37.42687506578761,8
2017-08-02,Tainoura (Isoyake),0m,RP,22.26122438967033,8
2017-08-02,Arikawa (Zostera),1m,RP,24.6392916154889,8
2017-08-03,Tainoura (Isoyake),0m,RP,20.604503739223542,8
2017-08-03,Arikawa (Zostera),1m,RP,45.35333799423782,8
2017-08-04,Arikawa (Zostera),1m,RP,48.57111926272556,8
2017-08-11,Tainoura (Isoyake),0m,RP,7.314608326124873,8
2017-08-11,Arikawa (Zostera),1m,RP,21.07096230391496,8
2017-08-12,Tainoura (Isoyake),0m,RP,15.26695971322118,8
2017-08-12,Arikawa (Zostera),1m,RP,16.60902381446155,8
2017-08-13,Tainoura (Isoyake),0m,RP,8.331061787893209,8
2017-08-13,Arikawa (Zostera),1m,RP,25.833497183236748,8
2017-08-14,Tainoura (Isoyake),0m,RP,5.680719647995959,8
2017-08-14,Arikawa (Zostera),1m,RP,36.59144563525274,8
2017-08-15,Tainoura (Isoyake),0m,RP,4.633107937165633,8
2017-08-15,Arikawa (Zostera),1m,RP,35.94927890018442,8
2017-08-16,Tainoura (Isoyake),0m,RP,3.4716173054476105,8
2017-08-16,Arikawa (Zostera),1m,RP,26.787335640458267,8
2017-08-17,Tainoura (Isoyake),0m,RP,1.050075828458639,8
2017-08-17,Arikawa (Zostera),1m,RP,31.98295105101117,8
2017-08-18,Tainoura (Isoyake),0m,RP,11.402152665744644,8
2017-08-18,Arikawa (Zostera),1m,RP,17.410209897698387,8
2017-09-03,Tainoura (Isoyake),0m,RP,1.277437603119858,9
2017-09-03,Tainoura (Isoyake),1m,RP,2.7210074704740967,9
2017-09-03,Arikawa (Sargassum),0m,RP,18.608723051231895,9
2017-09-03,Arikawa (Sargassum),1m,RP,16.12541083658799,9
2017-09-04,Tainoura (Isoyake),0m,RP,14.014754735866076,9
2017-09-04,Tainoura (Isoyake),1m,RP,13.333451927589547,9
2017-09-04,Arikawa (Sargassum),0m,RP,39.12296790430935,9
2017-09-04,Arikawa (Sargassum),1m,RP,19.46657019388268,9
2017-09-05,Tainoura (Isoyake),0m,RP,5.676783308101748,9
2017-09-05,Tainoura (Isoyake),1m,RP,8.428957318084434,9
2017-09-05,Arikawa (Sargassum),0m,RP,29.9198359285823,9
2017-09-05,Arikawa (Sargassum),1m,RP,9.40608349222713,9
2017-09-06,Tainoura (Isoyake),0m,RP,8.4991343764027,9
2017-09-06,Tainoura (Isoyake),1m,RP,7.764104550656523,9
2017-09-06,Arikawa (Sargassum),0m,RP,10.5831067178215,9
2017-09-06,Arikawa (Sargassum),1m,RP,15.177164648631926,9
2017-09-07,Arikawa (Sargassum),0m,RP,6.024342989870382,9
2017-09-07,Arikawa (Sargassum),1m,RP,2.1695056395069163,9
2017-09-08,Tainoura (Isoyake),0m,RP,11.421887330052373,9
2017-09-08,Tainoura (Isoyake),1m,RP,10.967495666224027,9
2017-09-08,Arikawa (Sargassum),0m,RP,31.61134704476281,9
2017-09-08,Arikawa (Sargassum),1m,RP,15.980917876000934,9
2017-09-09,Tainoura (Isoyake),1m,RP,7.761722906747691,9
2017-09-09,Arikawa (Sargassum),1m,RP,0.5330412664803093,9
2017-09-10,Tainoura (Isoyake),0m,RP,9.823793494663006,9
2017-09-10,Tainoura (Isoyake),1m,RP,16.401618999855003,9
2017-09-10,Arikawa (Sargassum),0m,RP,28.38286205380355,9
2017-09-10,Arikawa (Sargassum),1m,RP,14.440566552476078,9
2017-09-11,Tainoura (Isoyake),0m,RP,3.5084767703031785,9
2017-09-11,Tainoura (Isoyake),1m,RP,3.6609307047785604,9
2017-09-11,Arikawa (Sargassum),1m,RP,0.6186911479754746,9
2017-09-12,Tainoura (Isoyake),0m,RP,5.101678657614771,9
2017-09-12,Tainoura (Isoyake),1m,RP,5.770486363394337,9
2017-09-12,Arikawa (Sargassum),0m,RP,34.776062004138154,9
2017-09-12,Arikawa (Sargassum),1m,RP,19.42237953363346,9
2017-09-25,Tainoura (Isoyake),0m,RP,7.7982889107225715,9
2017-09-25,Tainoura (Isoyake),1m,RP,5.4333049472140225,9
2017-09-25,Arikawa (Sargassum),0m,RP,26.185097896698625,9
2017-09-25,Arikawa (Sargassum),1m,RP,24.53286036121457,9
2017-09-26,Tainoura (Isoyake),0m,RP,6.535150589270344,9
2017-09-26,Tainoura (Isoyake),1m,RP,4.232187031700363,9
2017-09-26,Arikawa (Sargassum),0m,RP,24.639404205312246,9
2017-09-26,Arikawa (Sargassum),1m,RP,24.507600154897155,9
2017-09-27,Tainoura (Isoyake),0m,RP,3.4968627601038804,9
2017-09-27,Tainoura (Isoyake),1m,RP,8.829924968221903,9
2017-09-27,Arikawa (Sargassum),0m,RP,4.754614429348147,9
2017-09-27,Arikawa (Sargassum),1m,RP,18.69502390370737,9
2017-09-28,Tainoura (Isoyake),0m,RP,7.944720708425698,9
2017-09-28,Tainoura (Isoyake),1m,RP,9.5242654500093,9
2017-09-28,Arikawa (Sargassum),0m,RP,10.296627485293401,9
2017-09-28,Arikawa (Sargassum),1m,RP,10.211373865307802,9
2017-09-29,Tainoura (Isoyake),0m,RP,8.598636676330216,9
2017-09-29,Tainoura (Isoyake),1m,RP,9.342884594210545,9
2017-09-29,Arikawa (Sargassum),0m,RP,8.114282934956933,9
2017-09-29,Arikawa (Sargassum),1m,RP,8.065200539095699,9
2017-09-30,Arikawa (Sargassum),0m,RP,27.780059846416663,9
2017-09-30,Arikawa (Sargassum),1m,RP,24.585217502121083,9
2017-10-01,Tainoura (Isoyake),0m,RP,6.5907179943786165,10
2017-10-01,Tainoura (Isoyake),1m,RP,6.774354123368514,10
2017-10-01,Arikawa (Sargassum),0m,RP,17.578183008181608,10
2017-10-01,Arikawa (Sargassum),1m,RP,14.599058098403438,10
2017-10-02,Tainoura (Isoyake),0m,RP,4.987304640425428,10
2017-10-02,Tainoura (Isoyake),1m,RP,4.473252125323652,10
2017-10-02,Arikawa (Sargassum),0m,RP,19.086422484434152,10
2017-10-02,Arikawa (Sargassum),1m,RP,5.807220857771458,10
2017-10-03,Tainoura (Isoyake),0m,RP,3.718811367207678,10
2017-10-03,Tainoura (Isoyake),1m,RP,3.9187400293175494,10
2017-10-03,Arikawa (Sargassum),0m,RP,18.734552692812557,10
2017-10-03,Arikawa (Sargassum),1m,RP,16.18510346823377,10
2017-10-04,Tainoura (Isoyake),0m,RP,1.4035426719686939,10
2017-10-04,Tainoura (Isoyake),1m,RP,3.0571690518172545,10
2017-10-04,Arikawa (Sargassum),0m,RP,1.0240530363067943,10
2017-10-04,Arikawa (Sargassum),1m,RP,5.8446902464143085,10
2017-10-05,Tainoura (Isoyake),0m,RP,5.430562942880712,10
