"","Date","location","key","value","month"
"230",2018-08-13,"Mushima (Old port)","RP",18.6141715180621,8
"231",2018-08-15,"Mushima (Old port)","RP",4.45300450645719,8
"232",2018-08-17,"Mushima (Old port)","RP",14.762506217638,8
"233",2018-08-18,"Mushima (Old port)","RP",18.7535414880375,8
"234",2018-08-19,"Mushima (Old port)","RP",29.7911651944389,8
"235",2018-08-20,"Mushima (Old port)","RP",36.0604809018079,8
"236",2018-08-23,"Mushima (Old port)","RP",32.5440971678164,8
"237",2018-08-25,"Mushima (Old port)","RP",9.3347315372628,8
"238",2018-08-26,"Mushima (Old port)","RP",14.7175540189852,8
"239",2018-08-27,"Mushima (Old port)","RP",22.1297252910435,8
"240",2018-08-28,"Mushima (Old port)","RP",4.51831659373125,8
"241",2018-08-29,"Mushima (Old port)","RP",5.01487334319783,8
"242",2018-08-30,"Mushima (Old port)","RP",24.3049181574218,8
"243",2018-09-01,"Mushima (Old port)","RP",8.19707109102922,9
"244",2018-09-03,"Mushima (Old port)","RP",38.3239722376061,9
"245",2018-09-04,"Mushima (Old port)","RP",24.2171515132658,9
"246",2018-09-05,"Mushima (Old port)","RP",25.0587484096595,9
"247",2018-09-06,"Mushima (Old port)","RP",24.8751620454899,9
"248",2018-09-07,"Mushima (Old port)","RP",13.8988849942063,9
"249",2018-09-08,"Mushima (Old port)","RP",10.5025560176094,9
"250",2018-09-09,"Mushima (Old port)","RP",12.0734835180094,9
"251",2018-09-10,"Mushima (Old port)","RP",10.2526737027229,9
"252",2018-09-11,"Mushima (Old port)","RP",6.63197443441092,9
"253",2018-09-12,"Mushima (Old port)","RP",5.02199187031431,9
"254",2018-09-13,"Mushima (Old port)","RP",6.34441329094649,9
"255",2018-09-14,"Mushima (Old port)","RP",8.63031388880424,9
"256",2018-09-20,"Mushima (Old port)","RP",37.6189556417151,9
"257",2018-09-21,"Mushima (Old port)","RP",8.81770586307433,9
"258",2018-09-21,"Mushima (New port)","RP",40.9707620454605,9
"259",2018-09-22,"Mushima (Old port)","RP",33.5871386461715,9
"260",2018-09-22,"Mushima (New port)","RP",21.5529404351099,9
"261",2018-09-23,"Mushima (Old port)","RP",11.6908053298914,9
"262",2018-09-24,"Mushima (Old port)","RP",13.1796889649079,9
"263",2018-09-24,"Mushima (New port)","RP",8.56696222301794,9
"264",2018-09-25,"Mushima (Old port)","RP",8.35276915194319,9
"265",2018-09-25,"Mushima (New port)","RP",9.06793875484902,9
"266",2018-09-26,"Mushima (Old port)","RP",14.2350855196496,9
"267",2018-09-26,"Mushima (New port)","RP",19.4158649431187,9
"268",2018-09-27,"Mushima (Old port)","RP",6.91936183734445,9
"269",2018-09-27,"Mushima (New port)","RP",19.0762613926786,9
"270",2018-09-28,"Mushima (Old port)","RP",8.1149202303383,9
"271",2018-09-28,"Mushima (New port)","RP",25.1308169213714,9
"272",2018-09-30,"Mushima (Old port)","RP",1.90283714585665,9
"273",2018-10-01,"Mushima (Old port)","RP",17.2891122270903,10
"274",2018-10-01,"Mushima (New port)","RP",11.5872928307335,10
"275",2018-10-02,"Mushima (Old port)","RP",22.9116286045912,10
"276",2018-10-02,"Mushima (New port)","RP",46.4395640634522,10
"277",2018-10-03,"Mushima (Old port)","RP",5.91749902001136,10
"278",2018-10-03,"Mushima (New port)","RP",37.9135905207404,10
"279",2018-10-04,"Mushima (Old port)","RP",21.5958237097015,10
